name,price,currency,availability,url
Imported Dragon Fruit 1 Piece,2490,PKR,InStock,https://www.naheed.pk/imported-dragon-fruit-1-piece
Imported Blueberry 125g (Approx),1295,PKR,InStock,https://www.naheed.pk/imported-blueberry-125g-approx
Coconut Local 1-Piece,700,PKR,InStock,https://www.naheed.pk/coconut-local-1-piece
Imported Avocado 1 Piece,950,PKR,InStock,https://www.naheed.pk/imported-avocado-1-piece
Grapefruit Local 1 Piece,110,PKR,InStock,https://www.naheed.pk/grapefruit-local-1-piece
Imported Passion Fruit 500g (Approx),4500,PKR,InStock,https://www.naheed.pk/imported-passion-fruit-500g-approx
Pineapple Per Piece,2500,PKR,InStock,https://www.naheed.pk/pineapple-per-piece
Sweet Tamarind Local 250g,700,PKR,InStock,https://www.naheed.pk/sweet-tamarind-local-250g
"Fresh Basket Hass Avocado, 1 Piece",1500,PKR,InStock,https://www.naheed.pk/fresh-basket-hass-avocado-1-piece
Chikoo (Sapodilla) Local 500g,200,PKR,InStock,https://www.naheed.pk/chikoo-sapodilla-local-500g
Green Apple Local 1 KG,520,PKR,InStock,https://www.naheed.pk/green-apple-local-1-kg
Papaya 1 Piece,320,PKR,InStock,https://www.naheed.pk/papaya-1-piece
"Fresh Basket Pomegranate (Anaar), 1Kg",1600,PKR,InStock,https://www.naheed.pk/fresh-basket-pomegranate-anaar-1kg
Banana Local 1-Dozen,300,PKR,InStock,https://www.naheed.pk/banana-local-1-dozen
Desi Melon Local 1 Piece,240,PKR,InStock,https://www.naheed.pk/desi-melon-local-1-piece
Kiwi Local 250g,300,PKR,InStock,https://www.naheed.pk/kiwi-local-250g
Apple Irani 1 KG,630,PKR,InStock,https://www.naheed.pk/apple-irani-1-kg
Watermelon Local Per Piece,1050,PKR,InStock,https://www.naheed.pk/watermelon-local-per-piece
Sugarcane Local Pack,200,PKR,InStock,https://www.naheed.pk/sugarcane-local-pack
"Sweet Melon Local, 1 Piece",320,PKR,InStock,https://www.naheed.pk/sweet-melon-local-1-piece
"Fresh Basket Green Grapes, Local, 1 KG",2200,PKR,InStock,https://www.naheed.pk/fresh-basket-green-grapes-local-1-kg
Cucumber (Kheera) Local 500g,75,PKR,InStock,https://www.naheed.pk/cucumber-kheera-local-500g
Lemon (Leemun) Local 300g,320,PKR,InStock,https://www.naheed.pk/lemon-leemun-local-300g
Cauliflower (Phool Gobi) Local Per Piece,120,PKR,InStock,https://www.naheed.pk/cauliflower-phool-gobi-local-per-piece
Cherry Tomato Red Local 250g (Approx),600,PKR,InStock,https://www.naheed.pk/cherry-tomato-red-local-250g-approx
"Fresh Basket Baby Onion, 1 KG",100,PKR,InStock,https://www.naheed.pk/fresh-basket-baby-onion-1-kg
Okra (Bhindi) Local 500g,140,PKR,InStock,https://www.naheed.pk/okra-bhindi-local-500g
"Imported Bell Pepper, Red, 500g",900,PKR,InStock,https://www.naheed.pk/imported-bell-pepper-red-500g
White Onion (Pyaaz) 1 KG,650,PKR,InStock,https://www.naheed.pk/white-onion-pyaaz-1-kg
Sweet Corn Local 1-Piece,30,PKR,InStock,https://www.naheed.pk/sweet-corn-local-1-piece
Broccoli (Shakh Gobi) Local 500g,650,PKR,InStock,https://www.naheed.pk/broccoli-shakh-gobi-local-500g
"Fresh Basket White Button Mushrooms, Local, 250g",595,PKR,InStock,https://www.naheed.pk/fresh-basket-white-button-mushrooms-local-250g
Imported Baby Corn 125g (Approx),780,PKR,InStock,https://www.naheed.pk/imported-baby-corn-125g-approx
Cabbage (Gobi) Local Per Piece,40,PKR,InStock,https://www.naheed.pk/cabbage-gobi-local-per-piece
"Fresh Basket Fenugreek (Meethi) Leaves, Small",10,PKR,InStock,https://www.naheed.pk/fresh-basket-fenugreek-meethi-leaves-small
Garlic (Lehsan) Peled Local 250g,170,PKR,InStock,https://www.naheed.pk/garlic-lehsan-peled-local-250g
